id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
338,2,4,0,0,0,0.3333,3,4,0,0,0,0.4286,0
339,2,4,0,0,0,0.3333,3,4,0,0,0,0.4286,0
340,34,0,0,0,0,1.0,34,0,0,0,0,1.0,1
341,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
342,34,0,0,0,0,1.0,34,0,0,0,0,1.0,1
343,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,1
344,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,1
345,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
346,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
347,23,0,0,0,0,1.0,31,0,0,0,0,1.0,1
348,9,15,0,0,0,0.375,51,24,0,0,0,0.68,0
349,2,0,0,0,0,1.0,5,0,0,0,0,1.0,1
350,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
351,2,1,0,0,0,0.6667,2,3,0,0,0,0.4,1
352,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
353,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
354,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
355,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
356,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
357,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,0
358,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
359,7,4,1,0,0,0.5833,11,4,1,0,0,0.6875,1
360,23,0,0,0,0,1.0,31,0,0,0,0,1.0,1
361,2,0,0,0,0,1.0,2,0,0,0,0,1.0,1
362,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
363,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
364,11,0,0,0,0,1.0,21,0,0,0,0,1.0,1
365,2,4,0,0,0,0.3333,3,4,0,0,0,0.4286,1
366,5,1,0,0,0,0.8333,5,1,0,0,0,0.8333,1
367,4,1,0,0,0,0.8,10,1,0,0,0,0.9091,1
368,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
369,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
370,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
371,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
372,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
373,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
374,8,1,0,0,0,0.8889,8,1,0,0,0,0.8889,1
375,8,1,0,0,0,0.8889,8,1,0,0,0,0.8889,1
376,8,1,0,0,0,0.8889,8,1,0,0,0,0.8889,1
377,8,1,0,0,0,0.8889,8,1,0,0,0,0.8889,1
378,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
379,34,0,0,0,0,1.0,34,0,0,0,0,1.0,1
380,34,0,0,0,0,1.0,34,0,0,0,0,1.0,1
381,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
382,3,5,2,0,0,0.3,24,7,2,0,0,0.7273,1
383,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
384,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
385,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
386,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
387,3,1,0,0,0,0.75,5,2,0,0,0,0.7143,1
388,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
389,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
390,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
391,23,0,0,0,0,1.0,31,0,0,0,0,1.0,1
392,5,1,0,0,0,0.8333,5,1,0,0,0,0.8333,1
393,2,2,0,0,0,0.5,5,3,0,0,0,0.625,1
394,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
395,2,1,0,0,0,0.6667,2,1,0,0,0,0.6667,1
396,34,0,0,0,0,1.0,34,0,0,0,0,1.0,1
397,9,15,0,0,0,0.375,51,24,0,0,0,0.68,0
398,9,15,0,0,0,0.375,51,24,0,0,0,0.68,0
399,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,1
400,0,0,0,0,1,0.0,2,5,0,0,2,0.2222,0
401,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
402,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,0
403,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
404,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
405,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
406,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
407,2,0,0,0,0,1.0,7,1,0,0,0,0.875,1
408,5,6,5,2,0,0.2778,42,13,5,2,0,0.6774,1
409,8,1,0,0,0,0.8889,8,1,0,0,0,0.8889,1
410,2,0,0,0,0,1.0,2,0,0,0,0,1.0,1
411,2,1,0,0,0,0.6667,2,1,0,0,0,0.6667,1
412,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,1
413,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
414,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
